label_id,category
0,AI
1,An ninh
2,An ninh mạng
3,Blockchain
4,Bảo mật
5,Bất động sản
6,COVID-19
7,Chuyển đổi số
8,Chính sách xã hội
9,Chính trị
10,Chứng khoán
11,Công an
12,Công nghệ
13,Công nghệ số
14,Dinh dưỡng
15,Doanh nghiệp
16,Doanh nhân
17,Du lịch
18,Game
19,Gia đình
20,Giao thông
21,Giáo dục
22,Giải trí
23,Giới trẻ
24,Hoa hậu
25,Hạ tầng số
26,Internet
27,Khoa học
28,Kinh doanh
29,Kinh tế
30,Kinh tế số
31,Kinh tế xanh
32,Lao động
33,Luật
34,Làm đẹp
35,Môi trường
36,Mạng xã hội
37,Ngân hàng
38,Nhà đất
39,Nhịp sống
40,Nông nghiệp
41,Nông thôn
42,Nội thất
43,Pháp luật
44,Phóng sự
45,Quốc phòng
46,Quốc tế
47,Sách báo
48,Sức khỏe
49,Thế giới
50,Thể thao
51,Thị trường
52,Thời sự
53,Thời trang
54,Tiêu dùng
55,Tài chính
56,Viễn thông
57,Việc làm
58,Văn hóa
59,Văn nghệ
60,Xe cộ
61,Xã hội
62,Y tế
63,Âm nhạc
64,Điện ảnh
65,Đoàn - Hội
66,Đô thị
67,Địa ốc
68,Đời sống
69,Ẩm thực
