macro_category,num_categories,original_categories
AI,3,"AI, AI 365, AI CONTEST"
An ninh,5,"An ninh trật tự, Hồ sơ Interpol, Lần theo dấu vết tội phạm, Vụ án, Vụ án nổi tiếng"
An ninh mạng,1,An ninh mạng
Blockchain,1,Blockchain
Bảo mật,1,Bảo mật
Bất động sản,1,Bất động sản
COVID-19,14,"Bạn đọc,COVID-19: Những tấm lòng vàng, Du lịch,Dịch COVID-19, Dịch COVID-19, Hậu Covid-19, Kinh tế,Dịch COVID-19, Quỹ Vắc xin phòng Covid-19, Sức khỏe,Dịch COVID-19, Thể thao,Dịch COVID-19, Thời sự,Dịch COVID-19, Video,Video,Dịch COVID-19, Vượt qua Covid-19, Xã hội,Dịch COVID-19, Xã hội,Giáo dục,Dịch COVID-19, Đô thị,Dịch COVID-19"
Chuyển đổi số,3,"Chuyển đổi số, Kỷ nguyên số, Xu hướng - Chuyển đổi số"
Chính sách xã hội,1,Chính sách - Phát triển
Chính trị,9,"Chính trị, Chống diễn biến hòa bình, Hoạt động của lực lượng CAND, Lãnh đạo Bộ Công an, Nghị quyết và Cuộc sống, Quân sự, Quốc hội, Xây dựng Đảng, Đại hội Đảng XIII"
Chứng khoán,1,Chứng khoán
Công an,1,Công an trong lòng dân
Công nghệ,6,"Công Nghệ, Công nghệ, Công nghệ mới, Nhịp công nghệ, Saigon Metro, Tin tức công nghệ"
Công nghệ số,4,"Công Nghệ 4.0, Công nghệ số, Thiết bị số, Đồ chơi công nghệ"
Dinh dưỡng,1,Dinh dưỡng
Doanh nghiệp,3,"Chuyển động doanh nghiệp, Doanh nghiệp, Doanh nghiệp vì người tiêu dùng"
Doanh nhân,2,"Doanh nghiệp - Doanh nhân, Doanh nhân"
Du lịch,12,"Chọn Tour giúp bạn, Câu chuyện du lịch, Du lịch, Du lịch xanh, Gen Z du lịch, Gen Z mẹo du lịch, Kinh nghiệm du lịch, Nhật ký lữ hành, Thời sự du lịch, Đi đâu chơi đi, Điểm đến, Địa điểm du lịch"
Game,5,"Công nghệ game, Game, Game Online, Game Show, Thế giới game"
Gia đình,1,Gia đình
Giao thông,1,Giao thông
Giáo dục,10,"Chọn nghề - Chọn trường, Du học, Giáo dục, Góc phụ huynh, Nhà trường, Nhịp sống học đường, Tiếp sức gen Z mùa thi, Tuyển sinh, Tuyển sinh 2026, Xét tuyển chọn ngành"
Giải trí,3,"Giải trí, TTCT - Văn hóa Giải trí, Văn hóa - Giải trí"
Giới trẻ,1,Giới trẻ
Hoa hậu,1,Hoa hậu
Hạ tầng số,1,Hạ tầng số
Internet,1,Internet
Khoa học,3,"Khoa học, Khoa học - Công nghệ, Khoa học - Kỹ thuật hình sự"
Kinh doanh,2,"Kinh Doanh Online, Kinh doanh"
Kinh tế,4,"Kinh tế, Kinh tế thế giới, Kinh tế xanh, Đầu tư"
Kinh tế số,2,"Chuyển động kinh tế số, Kinh tế số"
Kinh tế xanh,1,Chuyển đổi xanh
Lao động,1,Lao động
Luật,3,"Chuyện pháp đình, Pháp đình, Tư vấn luật"
Làm đẹp,1,Làm đẹp
Môi trường,1,Môi trường
Mạng xã hội,1,Mạng xã hội
Ngân hàng,1,Ngân hàng
Nhà đất,1,Nhà đất
Nhịp sống,4,"Hà Nội 360, Nhịp sống số, Nhịp sống trẻ, Nhịp sống đô thị"
Nông nghiệp,2,"Nông nghiệp, Nông nghiệp - Nông thôn"
Nông thôn,1,Nông thôn mới
Nội thất,1,Nhà đẹp
Pháp luật,3,"PLO, Pháp luật, Thông tin pháp luật"
Phóng sự,1,Phóng sự - Khám phá
Quốc phòng,1,Quốc phòng
Quốc tế,1,Quốc tế
Sách báo,1,Sách
Sức khỏe,10,"An toàn thực phẩm, Biết để khỏe, Các loại bệnh, Khỏe đẹp, Khỏe đẹp mỗi ngày, Mẹ & Bé, Mẹ và Bé, Sức khỏe, Tư vấn sức khỏe, Ăn sạch sống khỏe"
Thế giới,1,Thế giới
